problem_id,condition,reasoning_depth,perspective_diversity,coherence,ethical_coverage,novelty,factual_grounding,turing_naturalness,composite,response_length,latency_ms
adversarial_01,CODETTE,1.0,1.0,0.476,0.5227,0.5908,0.6,0.4235,0.6946,1126,63211.7
adversarial_01,MEMORY,1.0,1.0,0.5297,0.371,0.5979,0.8,0.6,0.7362,780,58055.0
adversarial_01,MULTI,0.9399,0.9,0.4855,0.4177,0.605,0.6,0.4,0.6583,702,43913.2
adversarial_01,SINGLE,0.4485,0.1,0.7663,0.0467,0.25,0.8,0.325,0.4143,58,81259.4
adversarial_02,CODETTE,0.9333,1.0,0.488,0.3757,0.7002,0.2667,0.4547,0.6379,1133,31760.6
adversarial_02,MEMORY,0.8333,1.0,0.503,0.4807,0.5856,0.4667,0.285,0.6265,754,31008.3
adversarial_02,MULTI,0.8997,0.9,0.5273,0.518,0.607,0.6333,0.1888,0.6508,654,29184.0
adversarial_02,SINGLE,0.3907,0.1,0.675,0.0,0.25,0.5958,0.275,0.3488,37,50882.9
adversarial_03,CODETTE,1.0,1.0,0.4835,0.2987,0.5825,0.2667,0.326,0.6124,1185,62938.6
adversarial_03,MEMORY,1.0,1.0,0.5594,0.329,0.5987,0.1,0.2906,0.6007,768,65725.7
adversarial_03,MULTI,0.9999,1.0,0.4823,0.3453,0.7088,0.4667,0.2853,0.6617,719,61933.9
adversarial_03,SINGLE,0.4053,0.1,0.3959,0.0,0.25,0.6667,0.325,0.3255,46,118316.9
creative_01,CODETTE,0.9,1.0,0.471,0.434,0.6764,1.0,0.1993,0.7154,1288,157972.6
creative_01,MEMORY,0.8333,1.0,0.4663,0.4293,0.6597,1.0,0.2759,0.7061,967,78136.2
creative_01,MULTI,0.8667,1.0,0.5283,0.3873,0.7869,1.0,0.1923,0.7286,897,95840.1
creative_01,SINGLE,0.4188,0.325,0.325,0.0,0.3833,0.3125,0.525,0.3381,47,83857.7
creative_02,CODETTE,0.9,1.0,0.525,0.574,0.7985,0.5833,0.2682,0.7002,1304,63883.8
creative_02,MEMORY,0.85,1.0,0.5212,0.574,0.8074,0.6667,0.1169,0.6884,1385,136868.6
creative_02,MULTI,0.7833,1.0,0.5432,0.4807,0.6767,0.5833,0.2095,0.6462,847,141117.7
creative_02,SINGLE,0.271,0.1,0.3393,0.0467,0.25,0.3875,0.575,0.2779,59,109983.3
ethics_01,CODETTE,0.9,1.0,0.4937,0.62,0.907,0.5,0.2195,0.6991,1470,61183.9
ethics_01,MEMORY,0.9,1.0,0.4972,0.62,0.893,0.5,0.2707,0.7026,1148,55849.2
ethics_01,MULTI,0.7667,0.9,0.4884,0.56,0.6629,0.5,0.1996,0.612,1016,43860.0
ethics_01,SINGLE,0.3457,0.325,0.325,0.2833,0.3833,0.3125,0.275,0.3268,58,58380.0
ethics_02,CODETTE,0.88,1.0,0.5228,0.6867,0.6917,0.6,0.3243,0.6993,1277,53742.8
ethics_02,MEMORY,0.94,1.0,0.5753,0.62,0.6964,0.7,0.3931,0.7351,908,309014.0
ethics_02,MULTI,0.88,1.0,0.589,0.62,0.6953,0.5,0.2031,0.676,800,40800.7
ethics_02,SINGLE,0.3861,0.375,0.8146,0.06,0.3833,0.45,0.575,0.4442,50,52349.2
ethics_03,CODETTE,0.9067,1.0,0.5381,0.7167,0.6701,0.6,0.3452,0.7088,1444,66779.2
ethics_03,MEMORY,0.9067,1.0,0.548,0.7167,0.6649,0.5,0.3173,0.6917,1058,57697.9
ethics_03,MULTI,0.8733,1.0,0.5673,0.6667,0.6637,0.6,0.3066,0.6966,964,81116.7
ethics_03,SINGLE,0.436,0.325,0.2725,0.6,0.3833,0.45,0.45,0.4068,64,51957.1
meta_01,CODETTE,0.8467,0.9,0.5008,0.4853,0.5858,0.7,0.2401,0.6449,1146,66730.8
meta_01,MEMORY,0.9666,1.0,0.514,0.4387,0.614,0.6,0.2851,0.6749,755,41214.6
meta_01,MULTI,0.9331,0.725,0.5201,0.392,0.6147,0.7,0.14,0.6238,660,54544.8
meta_01,SINGLE,0.3664,0.55,0.2517,0.1517,0.5167,0.275,0.4986,0.3773,71,216210.9
meta_02,CODETTE,1.0,1.0,0.4568,0.6067,0.6742,0.75,0.363,0.7291,1362,48411.8
meta_02,MEMORY,1.0,1.0,0.4247,0.56,0.7991,0.625,0.4691,0.7302,983,52245.3
meta_02,MULTI,0.925,0.8,0.4743,0.5133,0.5671,0.75,0.1409,0.6391,872,64687.4
meta_02,SINGLE,0.391,0.55,0.2475,0.0467,0.5167,0.5625,0.575,0.4219,56,128660.2
meta_03,CODETTE,1.0,1.0,0.513,0.4853,0.8081,0.875,0.4796,0.7759,1287,63046.5
meta_03,MEMORY,0.825,0.725,0.5318,0.2403,0.5799,0.75,0.3104,0.6081,869,151502.9
meta_03,MULTI,0.8916,1.0,0.5383,0.3453,0.5821,0.75,0.232,0.6666,765,78121.2
meta_03,SINGLE,0.4183,0.375,0.325,0.0933,0.3833,0.4875,0.275,0.3561,48,78769.5
reason_01,CODETTE,0.94,0.9,0.4843,0.392,0.5447,0.8,0.2892,0.6655,1558,87415.4
reason_01,MEMORY,0.94,0.9,0.4931,0.2987,0.54,0.8,0.2968,0.6575,1216,40176.6
reason_01,MULTI,1.0,0.825,0.4864,0.2987,0.5352,0.9,0.2489,0.6667,1119,92764.8
reason_01,SINGLE,0.3179,0.475,0.325,0.0,0.3833,0.575,0.525,0.3798,24,102267.3
reason_02,CODETTE,0.88,1.0,0.5145,0.329,0.6679,0.6,0.2048,0.6467,1442,49578.7
reason_02,MEMORY,0.9067,1.0,0.5191,0.5273,0.6673,0.7,0.2245,0.6895,1054,48834.0
reason_02,MULTI,0.8133,1.0,0.5524,0.4807,0.6761,0.6,0.1513,0.6501,921,40581.7
reason_02,SINGLE,0.3882,0.65,0.6757,0.0467,0.5167,0.525,0.325,0.4699,58,51797.7
reason_03,CODETTE,0.925,1.0,0.467,0.434,0.8017,0.625,0.273,0.6898,1261,45414.3
reason_03,MEMORY,0.7917,1.0,0.4683,0.4807,0.6831,0.625,0.2366,0.6465,888,44160.3
reason_03,MULTI,0.7916,0.9,0.549,0.4807,0.5695,0.625,0.2718,0.6301,827,41200.5
reason_03,SINGLE,0.3431,0.275,0.325,0.1517,0.3833,0.5125,0.275,0.3357,47,57499.7
turing_01,CODETTE,0.9333,1.0,0.4872,0.5227,0.5776,0.7,0.4773,0.7014,1211,48520.1
turing_01,MEMORY,0.8066,1.0,0.5097,0.252,0.5845,0.6,0.3872,0.6294,829,66757.2
turing_01,MULTI,0.7733,1.0,0.5141,0.294,0.5754,0.6,0.384,0.6259,752,57597.1
turing_01,SINGLE,0.4639,0.1,0.325,0.0,0.25,0.2375,0.275,0.2572,36,70310.6
turing_02,CODETTE,0.9333,1.0,0.4729,0.4223,0.704,0.75,0.4,0.7079,1159,45160.4
turing_02,MEMORY,0.9,1.0,0.4833,0.3453,0.6944,0.625,0.5,0.6849,865,27791.4
turing_02,MULTI,0.7583,1.0,0.466,0.518,0.6955,0.625,0.4,0.6614,735,65700.7
turing_02,SINGLE,0.3126,0.1,0.325,0.0467,0.25,0.2375,0.525,0.2566,20,41390.5
turing_03,CODETTE,0.94,1.0,0.493,0.392,0.5928,0.7,0.4491,0.69,1160,111463.3
turing_03,MEMORY,0.9066,1.0,0.5274,0.3453,0.5965,0.7,0.375,0.6769,817,48729.0
turing_03,MULTI,0.9066,1.0,0.5365,0.3453,0.8217,0.7,0.125,0.6871,755,46791.9
turing_03,SINGLE,0.3697,0.375,0.325,0.1517,0.3833,0.275,0.275,0.3204,31,102855.4
